Rank,Country,Name,Sport,Gender,Results
14,NZL,Bradlee Ashby,Swimming 200M,Male,
15,ESP,Eduardo Sola,Swimming 200M,Male,
16,SWE,Simon Sjodin,Swimming 200M,Male,
17,ISR,Gal Nevo,Swimming 200M,Male,
18,RUS,Semen Makovich,Swimming 200M,Male,
19,POR,Diago Carvalho,Swimming 200M,Male,
20,AUS,Tarvis Mahoney,Swimming 200M,Male,
21,LUX,Raphael Stacchiotti,Swimming 200M,Male,
22,CHN,Yixuan Hu,Swimming 200M,Male,
23,BEL,Emmanual Van,Swimming 200M,Male,
24,LAT,Uvis Kalnins,Swimming 200M,Male,
25,EGY,Mohamed Hussein,Swimming 200M,Male,
26,MKD,Marko Blaz,Swimming 200M,Male,
27,TUN,Ahmed Mathlouthi,Swimming 200M,Male,
1,GBR,Andy Murray,Tennis,Male,
2,ARG,Juan Martin Del,Tennis,Male,
3,JPN,Kei Nishikori,Tennis,Male,
4,ESP,Rafael Nadal,Tennis,Male,
5,ESP,Roberto Bautista,Tennis,Male,
5,BRA,Thomaz Bellucci,Tennis,Male,
5,FRA,Gale Monfils,Tennis,Male,
5,USA,Steve Johnson,Tennis,Male,
9,JPN,Taro Daniel,Tennis,Male,
9,LUX,Gilles Muller,Tennis,Male,
9,FRA,Gilles Simon ,Tennis,Male,
9,BEL,Davis Goffin,Tennis,Male,
9,CRO,Marin Cilic,Tennis,Male,
9,SVK,Andrej Martin ,Tennis,Male,
9,RUS,Evgeny Donskoy,Tennis,Male,
9,ITA,Fabio Fognini,Tennis,Male,
17,POR,Joao Sousa,Tennis,Male,
17,GBR,Kyle Edmund,Tennis,Male,
17,ITA,Paolo Lorenzi,Tennis,Male,
1,PUR,Monica Puig,Tennis,Female,
2,GER,Angelique Kerber,Tennis,Female,
3,CZE,Petra Kvitova,Tennis,Female,
4,USA,Madison Keys,Tennis,Female,
5,UKR,Elina Svitolina,Tennis,Female,
5,GER,Laura Siegemund,Tennis,Female,
5,RUS,Daria Kasatkina,Tennis,Female,
5,GBR,Johanna Konta,Tennis,Female,
9,USA,Serena Williams,Tennis,Female,
9,RUS,Ekaterina Makarova,Tennis,Female,
9,ESP,Garbine Muguruz,Tennis,Female,
9,BEL,Kiresten Flipkens,Tennis,Female,
9,ESP,Carla Suarez,Tennis,Female,
9,ITA,Sara Errani,Tennis,Female,
9,RUS,Svetlana Kuznet,Tennis,Female,
9,AUS,Samantha Stosur,Tennis,Female,
17,FRA,Alize Cornet,Tennis,Female,
17,GBR,Heather Watson,Tennis,Female,
17,DEN,Caroline Wozniacki,Tennis,Female,
17,SVK,Anna Karolina,Tennis,Female,
17,JPN,Nao Hibino,Tennis,Female,
1,ESP,Mireia Belmonte,Swimming 200M,Female,2.04
2,AUS,Madeline Groves,Swimming 200M,Female,2.04
3,JPN,Natsumi Hoshi,Swimming 200M,Female,2.05
4,USA,Cammile Adams,Swimming 200M,Female,2.05
5,CHN,Yilin Zhou,Swimming 200M,Female,2.07
6,CHNA,Yufei Zhang,Swimming 200M,Female,2.07
7,USA,Hali Flickinger,Swimming 200M,Female,2.07
8,AUS,Brianna Throssell,Swimming 200M,Female,2.07
9,JPN,Suzuka Haseg,Swimming 200M,Female,
10,HUN,Lilian Szilagyi,Swimming 200M,Female,
11,GER,Franziska Hentke,Swimming 200M,Female,
12,SUI,Martina Ven,Swimming 200M,Female,
13,KOR,Sehyeon An,Swimming 200M,Female,
14,ITA,Alessia Polieri,Swimming 200M,Female,
15,SLO,Anja Lkinar,Swimming 200M,Female,
16,CAN,Audrey Lacro,Swimming 200M,Female,
17,ITA,Setfania Pirozzi,Swimming 200M,Female,
18,FRA,Lara Graneon,Swimming 200M,Female,
19,GBR,Aimee Will,Swimming 200M,Female,
20,ESP,Judit Lgnacio,Swimming 200M,Female,
21,KOR,Jin Park,Swimming 200M,Female,
22,TUR,Nida Ustundag,Swimming 200M,Female,
23,VEN,Andreina Pinto,Swimming 200M,Female,
24,BRA,Joanna Marangoa,Swimming 200M,Female,
25,NZL,Helena gasson,Swimming 200M,Female,
